-1232.506,-1231.767,-1238.758,-1239.046
-1233.742,-1234.041,-1237.562,-1237.581
-1217.247,-1217.247
-1219.671,-1221.873,-1225.393,-1225.061
-1235.574,-1235.574,-1237.325,-1237.578
-1227.966,-1228.431,-1237.270,-1237.578
-1236.535,-1236.535,-1237.588,-1237.578
-1218.233,-1218.233,-1234.301,-1230.744
-1227.237,-1227.243,-1232.243,-1232.246
-1226.180,-1225.938,-1234.241,-1234.446
-1235.734,-1235.734,-1237.325,-1237.578
-1230.961,-1232.051,-1234.364,-1234.429
-1230.962,-1232.051,-1234.364,-1234.429
-1237.596,-1237.562,-1237.562,-1237.581
-1237.596,-1237.562,-1237.562,-1237.581
-1235.110,-1233.657,-1239.349,-1240.056
-1229.566,-1228.287,-1233.361,-1233.896
-1228.083,-1228.008,-1240.280,-1240.293
-1228.705,-1228.922,-1233.944,-1234.144
-1237.772,-1237.772,-1238.926,-1238.934
-1232.306,-1232.306,-1236.039,-1236.053
-1236.382,-1236.382,-1238.932,-1238.934
-1237.628,-1237.628,-1238.926,-1238.934
-1235.972,-1236.485,-1239.168,-1239.168
-1229.782,-1229.868,-1232.124,-1232.124
-1230.688,-1229.260,-1238.841,-1239.046
-1238.363,-1238.363,-1238.926,-1238.934
-1234.864,-1235.016,-1237.550,-1237.581
-1234.479,-1233.854,-1236.241,-1236.240
-1234.303,-1234.303,-1236.099,-1236.098
-1229.067,-1228.929,-1233.808,-1233.917
-1235.718,-1237.084,-1238.877,-1239.007
-1228.084,-1228.008,-1240.280,-1240.293
-1228.084,-1228.008,-1240.280,-1240.293
-1238.615,-1238.615,-1238.926,-1238.934
-1238.615,-1238.615,-1238.926,-1238.934
-1238.681,-1238.755,-1239.046,-1239.046
-1238.681,-1238.755,-1239.046,-1239.046
-1233.035,-1233.344,-1236.099,-1236.098
-1229.697,-1229.845,-1237.227,-1237.360
-1238.623,-1238.623,-1239.046,-1239.046
-1230.988,-1230.988,-1235.216,-1235.254
-1225.303,-1225.303
-1228.688,-1228.848
-1229.821,-1229.821,-1234.477,-1234.464
-1231.246,-1231.246,-1237.048,-1237.050
-1238.675,-1238.675,-1239.046,-1239.046
-1233.422,-1233.422,-1240.169,-1240.214
-1232.235,-1232.235,-1232.602,-1232.476
-1230.772,-1230.772,-1237.796,-1237.831
-1229.371,-1229.371,-1232.333
-1230.189,-1230.491,-1234.313,-1234.337
-1217.533,-1215.563,-1233.285
-1238.987,-1238.987,-1239.932,-1240.211
-1238.987,-1238.987,-1239.934,-1240.211
-1239.580,-1239.670,-1240.325,-1240.272
-1238.615,-1238.615,-1238.926,-1238.934
-1238.614,-1238.615,-1238.926,-1238.934
-1237.841,-1237.841,-1240.223,-1240.217
-1237.376,-1237.376,-1239.929,-1240.214
-1239.236,-1239.439,-1240.338,-1240.268
-1235.692,-1235.692,-1238.099,-1238.232
-1229.771,-1229.771,-1230.454,-1230.439
-1231.687,-1231.687,-1233.771,-1234.317
-1235.799,-1235.915,-1240.331
-1237.889,-1238.285,-1240.338,-1240.268
-1233.182,-1233.182,-1234.099,-1234.291
-1239.597,-1239.681,-1240.325,-1240.271
-1230.072,-1230.148
-1234.913,-1234.913,-1238.038
-1229.694,-1229.693,-1232.058,-1232.216
-1228.585,-1228.504,-1232.215,-1232.473
-1227.771,-1227.771,-1235.320,-1235.923
-1228.336,-1228.336,-1235.561,-1236.083
-1236.414,-1236.414,-1235.326
-1238.982,-1238.982,-1239.933,-1240.214
-1239.351,-1239.351,-1240.339,-1240.268
-1239.581,-1239.670,-1240.325,-1240.272
-1238.462,-1238.462,-1240.332,-1240.250
-1238.462,-1238.462,-1240.333,-1240.250
-1239.678,-1239.678
-1235.193,-1235.193,-1238.098,-1238.232
-1233.109,-1233.109
-1231.466,-1231.466,-1233.067,-1233.281
-1239.152,-1239.152
-1239.689,-1239.689,-1240.342,-1240.267
-1235.230,-1235.230,-1238.098,-1238.232
-1239.598,-1239.598,-1240.341,-1240.267
-1238.989,-1238.989,-1239.934,-1240.210
-1239.148,-1239.148
-1239.643,-1239.643,-1240.344,-1240.267
-1228.245,-1228.245
-1239.639,-1239.639,-1240.327,-1240.286
-1227.926,-1227.926
-1229.351,-1229.735
-1236.966,-1236.966,-1238.926,-1238.934
-1212.020,-1212.020,-1240.210,-1240.191
-1239.564,-1239.681,-1240.328,-1240.261
-1239.564,-1239.681,-1240.326,-1240.261
-1239.644,-1239.644,-1240.345,-1240.267
-1239.644,-1239.644,-1240.344,-1240.267
-1239.658,-1239.658,-1240.345,-1240.267
-1239.658,-1239.658,-1240.346,-1240.268
-1239.658,-1239.658,-1240.344,-1240.268
-1233.191,-1233.191,-1234.929
-1239.517,-1239.633,-1240.332,-1240.270
-1239.541,-1239.668,-1240.339,-1240.262
-1232.172,-1232.266,-1233.369
-1233.053,-1233.228,-1234.607,-1235.246
-1233.565,-1233.457
-1229.367,-1229.394,-1232.923,-1232.782
-1229.673,-1229.673,-1232.739,-1233.075
-1230.949,-1230.949
-1228.249,-1228.249,-1229.768
-1239.601,-1239.601,-1240.340,-1240.267
-1232.191,-1232.285,-1233.366
-1231.183,-1231.229
-1225.686,-1225.686,-1234.279,-1234.754
-1236.773,-1236.773,-1238.616,-1238.934
-1225.030,-1224.927,-1239.506,-1240.049
-1239.535,-1239.678
-1235.807,-1235.993,-1238.669,-1238.676
-1239.535,-1239.678,-1240.340,-1240.265
-1239.658,-1239.658,-1240.345,-1240.268
-1239.658,-1239.658,-1240.343,-1240.268
-1239.658,-1239.658,-1240.345,-1240.268
-1239.658,-1239.658,-1240.345,-1240.268
-1239.460,-1239.572,-1240.340,-1240.265
-1232.988,-1233.163,-1234.929
